Date,Price
2017-09-28,1.2467311937510612
2017-09-29,1.244028460105031
2017-09-29,1.244028460105031
2017-09-29,1.244028460105031
2017-10-02,1.2511069482288828
2017-10-03,1.250063813494427
2017-10-04,1.2452702129464663
2017-10-05,1.2480838017373532
2017-10-06,1.2574528060134962
2017-10-06,1.2574528060134962
2017-10-06,1.2574528060134962
2017-10-09,1.2541290652136898
2017-10-10,1.2498940408578452
2017-10-11,1.250887573964497
2017-10-12,1.2470479082321186
2017-10-13,1.2498729889923792
2017-10-13,1.2498729889923792
2017-10-13,1.2498729889923792
2017-10-16,1.2539184952978057
2017-10-17,1.2535929926014118
2017-10-18,1.2528725849008426
2017-10-19,1.2458171370627007
2017-10-20,1.2493653748519207
2017-10-20,1.2493653748519207
2017-10-20,1.2493653748519207
2017-10-23,1.2636286201022147
2017-10-24,1.2647734036221412
2017-10-25,1.2696648281714042
2017-10-26,1.27975835956777
2017-10-27,1.2891856958207668
2017-10-27,1.2891856958207668
2017-10-27,1.2891856958207668
2017-10-30,1.2847054770926627
2017-10-31,1.289224952741021
2017-11-01,1.2905614881157423
2017-11-02,1.2846715328467153
2017-11-03,1.2721969631980785
2017-11-03,1.2721969631980785
2017-11-03,1.2721969631980785
2017-11-06,1.2758412424503882
2017-11-07,1.2766822349074556
2017-11-08,1.2729076790336498
2017-11-09,1.2707652622527945
2017-11-10,1.267032778445169
2017-11-10,1.267032778445169
2017-11-10,1.267032778445169
2017-11-13,1.2705044612216885
2017-11-14,1.2714346530438485
2017-11-15,1.2755912162162162
2017-11-16,1.276442103474641
2017-11-17,1.2762187367528615
2017-11-17,1.2762187367528615
2017-11-17,1.2762187367528615
2017-11-20,1.278838808250573
2017-11-21,1.2805939580133128
2017-11-22,1.2740658779470593
2017-11-23,1.2680621201890614
2017-11-24,1.2707754483455418
2017-11-24,1.2707754483455418
2017-11-24,1.2707754483455418
2017-11-27,1.2680722891566265
2017-11-28,1.279273216689098
2017-11-29,1.2831656379470702
2017-11-30,1.2884631614482234
2017-12-01,1.287421119057636
2017-12-01,1.287421119057636
2017-12-01,1.287421119057636
2017-12-04,1.2670880741677202
2017-12-05,1.2632734025491683
2017-12-06,1.2662266226622663
2017-12-07,1.2838113015442048
2017-12-08,1.2835973428717427
2017-12-08,1.2835973428717427
2017-12-08,1.2835973428717427
2017-12-11,1.2858596134282807
2017-12-12,1.283188849226585
2017-12-13,1.2859577368779824
2017-12-14,1.2829041789784719
2017-12-15,1.2764695917330169
2017-12-15,1.2764695917330169
2017-12-15,1.2764695917330169
2017-12-18,1.2874099194573971
2017-12-19,1.2862217711240802
2017-12-20,1.2850147741663147
